exec ${PAGER:-/usr/bin/less} "$0" || exit 1
Executing tests from //stubdev:cuda_fullsolve_test_22
-----------------------------------------------------------------------------
Running main() from gmock_main.cc
[==========] Running 1 test from 1 test suite.
[----------] Global test environment set-up.
[----------] 1 test from KernelTest
[ RUN      ] KernelTest.FullSolveTest
Step 0
cycles [k]: 3821029
cycles [k]: 3823491
cycles [k]: 3825202
cycles [k]: 3825304
cycles [k]: 3822186
cycles [k]: 3825632
cycles [k]: 3825500
cycles [k]: 3828900
cycles [k]: 3827909
cycles [k]: 3827605
cycles [k]: 3828351
cycles [k]: 3828561
cycles [k]: 3829638
cycles [k]: 3829654
cycles [k]: 3830254
cycles [k]: 3829938
cycles [k]: 3829038
cycles [k]: 3830448
cycles [k]: 3830272
cycles [k]: 3829642
cycles [k]: 3832712
cycles [k]: 3833404
cycles [k]: 3832583
cycles [k]: 3834824
cycles [k]: 3837116
cycles [k]: 3832203
cycles [k]: 3833330
cycles [k]: 3832470
cycles [k]: 3833214
cycles [k]: 3833332
cycles [k]: 3834551
cycles [k]: 3833658
cycles [k]: 3833787
cycles [k]: 3835784
cycles [k]: 3836049
cycles [k]: 3840529
cycles [k]: 3836564
cycles [k]: 3843202
cycles [k]: 3836692
cycles [k]: 3836755
cycles [k]: 3838258
cycles [k]: 3837688
cycles [k]: 3840992
cycles [k]: 3836058
cycles [k]: 3841235
cycles [k]: 3845498
cycles [k]: 3841768
cycles [k]: 3837123
cycles [k]: 3840531
cycles [k]: 3839689
cycles [k]: 3842866
cycles [k]: 3840197
cycles [k]: 3843874
cycles [k]: 3845094
cycles [k]: 3845366
cycles [k]: 3844895
cycles [k]: 3844952
cycles [k]: 3847178
cycles [k]: 3844337
cycles [k]: 3846432
cycles [k]: 3847397
cycles [k]: 3846633
cycles [k]: 3847926
cycles [k]: 3847709
cycles [k]: 3845588
cycles [k]: 3848040
cycles [k]: 3851726
cycles [k]: 3850858
cycles [k]: 3852463
cycles [k]: 3851189
cycles [k]: 3856399
cycles [k]: 3853072
cycles [k]: 3853080
cycles [k]: 3858222
cycles [k]: 3853655
cycles [k]: 3862555
cycles [k]: 3860962
cycles [k]: 3856999
cycles [k]: 3858156
cycles [k]: 3855365
cycles [k]: 3857343
cycles [k]: 3860457
cycles [k]: 3858064
cycles [k]: 3858811
cycles [k]: 3860241
cycles [k]: 3864883
cycles [k]: 3859973
cycles [k]: 3861601
cycles [k]: 3861729
cycles [k]: 3864915
cycles [k]: 3863254
cycles [k]: 3860452
cycles [k]: 3867611
cycles [k]: 3862427
cycles [k]: 3862678
cycles [k]: 3864221
cycles [k]: 3862718
cycles [k]: 3870349
cycles [k]: 3861243
cycles [k]: 3865325
cycles [k]: 3866763
cycles [k]: 3866824
cycles [k]: 3868093
cycles [k]: 3868269
cycles [k]: 3869468
cycles [k]: 3868834
cycles [k]: 3867130
cycles [k]: 3875588
cycles [k]: 3870578
cycles [k]: 3872495
cycles [k]: 3876692
cycles [k]: 3871826
cycles [k]: 3872075
cycles [k]: 3874521
cycles [k]: 3876937
cycles [k]: 3877363
cycles [k]: 3877488
cycles [k]: 3874571
cycles [k]: 3877827
cycles [k]: 3877965
cycles [k]: 3887205
cycles [k]: 3881649
cycles [k]: 3881765
cycles [k]: 3881846
cycles [k]: 3882762
cycles [k]: 3882546
cycles [k]: 3883009
cycles [k]: 3883240
cycles [k]: 3882960
cycles [k]: 3880192
cycles [k]: 3882546
cycles [k]: 3882817
cycles [k]: 3884207
cycles [k]: 3884802
cycles [k]: 3883390
cycles [k]: 3885089
cycles [k]: 3884925
cycles [k]: 3885555
cycles [k]: 3884879
cycles [k]: 3884980
cycles [k]: 3890180
cycles [k]: 3886263
cycles [k]: 3887013
cycles [k]: 3888138
cycles [k]: 3887551
cycles [k]: 3886291
cycles [k]: 3888700
cycles [k]: 3887234
cycles [k]: 3889271
cycles [k]: 3887626
cycles [k]: 3894754
cycles [k]: 3888269
cycles [k]: 3890180
cycles [k]: 3890964
cycles [k]: 3889137
cycles [k]: 3891246
cycles [k]: 3892780
cycles [k]: 3896657
cycles [k]: 3893098
cycles [k]: 3893464
cycles [k]: 3893501
cycles [k]: 3892973
cycles [k]: 3896184
cycles [k]: 3894403
cycles [k]: 3893271
cycles [k]: 3893372
cycles [k]: 3895803
cycles [k]: 3895425
cycles [k]: 3895641
cycles [k]: 3897357
cycles [k]: 3899416
cycles [k]: 3898759
cycles [k]: 3898678
cycles [k]: 3899267
cycles [k]: 3897371
cycles [k]: 3904464
cycles [k]: 3903099
cycles [k]: 3902918
cycles [k]: 3903633
cycles [k]: 3905316
cycles [k]: 3902211
cycles [k]: 3901395
cycles [k]: 3905230
cycles [k]: 3902397
cycles [k]: 3902623
cycles [k]: 3907941
cycles [k]: 3906228
cycles [k]: 3906305
cycles [k]: 3909666
cycles [k]: 3908468
cycles [k]: 3914659
cycles [k]: 3908750
cycles [k]: 3907274
cycles [k]: 3914801
cycles [k]: 3907302
cycles [k]: 3907721
cycles [k]: 3909561
cycles [k]: 3908068
cycles [k]: 3913972
cycles [k]: 3909074
cycles [k]: 3909129
cycles [k]: 3909379
cycles [k]: 3911312
cycles [k]: 3913058
cycles [k]: 3910093
cycles [k]: 3918134
cycles [k]: 3912156
cycles [k]: 3918575
cycles [k]: 3910865
cycles [k]: 3911623
cycles [k]: 3912307
cycles [k]: 3915576
cycles [k]: 3914005
cycles [k]: 3910728
cycles [k]: 3915613
cycles [k]: 3914475
cycles [k]: 3914820
cycles [k]: 3918068
cycles [k]: 3912989
cycles [k]: 3922795
cycles [k]: 3916908
cycles [k]: 3913711
cycles [k]: 3917110
cycles [k]: 3917475
cycles [k]: 3913996
cycles [k]: 3921589
cycles [k]: 3914560
cycles [k]: 3921763
cycles [k]: 3919910
cycles [k]: 3923445
cycles [k]: 3923521
cycles [k]: 3918455
cycles [k]: 3918796
cycles [k]: 3926661
cycles [k]: 3919136
cycles [k]: 3924752
cycles [k]: 3919716
cycles [k]: 3919689
cycles [k]: 3925694
cycles [k]: 3922138
cycles [k]: 3920694
cycles [k]: 3921452
cycles [k]: 3923202
cycles [k]: 3923391
cycles [k]: 3923592
cycles [k]: 3923595
cycles [k]: 3923982
cycles [k]: 3923893
cycles [k]: 3923554
cycles [k]: 3923887
cycles [k]: 3930789
cycles [k]: 3925327
cycles [k]: 3927819
cycles [k]: 3924772
cycles [k]: 3924544
cycles [k]: 3928004
cycles [k]: 3925107
cycles [k]: 3924939
cycles [k]: 3925093
cycles [k]: 3925333
cycles [k]: 3930518
cycles [k]: 3928619
cycles [k]: 3923541
cycles [k]: 3927113
cycles [k]: 3926617
cycles [k]: 3928482
cycles [k]: 3927078
cycles [k]: 3928633
cycles [k]: 3927400
cycles [k]: 3925618
cycles [k]: 3929263
cycles [k]: 3929475
cycles [k]: 3931466
cycles [k]: 3935955
cycles [k]: 3928545
cycles [k]: 3931872
cycles [k]: 3930390
cycles [k]: 3930685
cycles [k]: 3931853
cycles [k]: 3936181
cycles [k]: 3933186
cycles [k]: 3931878
cycles [k]: 3934295
cycles [k]: 3933160
cycles [k]: 3934860
cycles [k]: 3932413
cycles [k]: 3942217
cycles [k]: 3936424
cycles [k]: 3935115
cycles [k]: 3943119
cycles [k]: 3937001
cycles [k]: 3938702
cycles [k]: 3938822
cycles [k]: 3938520
cycles [k]: 3937626
cycles [k]: 3941256
cycles [k]: 3937990
